naslov,mesec,leto,jezik,število besed,komentarji,kudos,bookmarks,hits,napisana poglavja,vsa poglavja,avtor
Damaged Goods,7,2023,English,150499,2545,17001,6595,939057,50,50,slytherin_after_dark
A Potter by Any Other Name,5,2023,English,85563,831,8896,2355,201683,25,25,WordsCharacterPlot
Inside Your Mind,9,2020,English,36376,216,8472,2120,125365,1,1,lazywonderland
Draco Malfoy and the Wheel of Hecate,9,2020,English,172692,3616,22882,1384,623091,24,24,starbrigid
Regulus Black and the What the Hell,3,2023,English,31308,1309,13695,3778,134404,21,21,gonzoclock
Lollies and Loki,12,2019,English,180008,2250,8157,2236,216473,49,49,cheshire_carroll
Occultation,8,2025,English,114624,5600,15470,3653,395492,24,25,TimaeusKosmou
"Between Technology, Magic and Death",7,2021,English,124339,2256,8895,3164,420424,60,60,Lerya
In These Silent Days,11,2023,English,67209,2764,14222,4674,495832,14,14,HeyJude19
The Evans Boy: Halcyon Days,5,2025,English,675133,13403,10456,1251,589844,159,159,lonibal
Draco Malfoy and the Letter from the Future,1,2018,English,33459,990,14422,1829,328721,8,8,DracoWillHearAboutThis
(Un)Calculated Risk,6,2017,English,6917,497,19180,3228,248617,1,1,loveglowsinthedark
What Real Thing?,11,2016,English,12676,753,26680,4114,320168,1,1,loveglowsinthedark
Things Gained in the Chamber of Secrets,1,2021,English,21437,468,8897,2130,77834,4,4,Blueseabird2
The Cigarette Case,12,2016,English,6764,485,13545,2758,102294,4,4,AgentMalkere
There May Be Some Collateral Damage,11,2015,English,61217,1241,16287,6261,295468,3,3,metisket
Dear Voldie,6,2024,English,217932,5281,13321,3469,683510,58,58,Faithless_3105
Doctors and Lawyers and Such,11,2021,English,30056,243,9350,2410,85267,1,1,ChokolatteJedi
Luckiest Baby in the World,5,2020,English,18512,255,9265,1610,103662,1,1,mfingenius
Vortex,1,2020,English,20625,624,10692,2384,140985,1,1,xanthippe74
Harry Lord of Slytherin,4,2022,English,109771,856,10529,3243,473562,29,29,Graydove71
Cake,8,2016,English,4315,240,18375,2187,188965,1,1,astolat
Promised,12,2018,English,40906,335,10134,2474,221496,3,3,Miss_Lv
Harry Potter and the Shadowed Light,2,2025,English,284726,5167,41346,12541,1667366,48,ni podatka,Itshannieee
You're All I Have,4,2022,English,228691,1466,15115,5635,470534,49,49,NinjaPandaScholar
White Lies,12,2017,English,171013,512,8108,2461,271715,32,32,cassisluna
he will have power the dark lord knows not,12,2015,English,11809,515,12221,1997,109793,1,1,dirgewithoutmusic
Divination for Skeptics,9,2019,English,98052,1452,8647,4119,408477,12,12,olivieblake
We're Already Married,10,2017,English,3954,582,31034,4441,222879,1,1,XxTheDarkLordxX
blood will tell but often it tells too much,8,2016,English,2489,278,8110,2468,62807,1,1,elumish
To Hurt and Heal,8,2018,English,21608,355,16786,3409,157442,1,1,cassisluna
Amateur Cartography,8,2011,English,20995,324,14991,3103,269151,1,1,worksofstone
